Date,ticker,ret_1m,ret_3m,ma_gap,momentum,volatility,relative_strength,ret_6m,ret_12m,drawdown,shock_count,defensive_rs
2014-11-19,153130,0.001663,0.006932,0.002774,0.007518,0.001495,-0.033564,0.013961,0.026765,0.0,0,0.0
2014-11-20,153130,0.001809,0.006733,0.002861,0.007533,0.001533,-0.02227,0.014058,0.027066,0.0,0,0.0
2014-11-21,153130,0.001711,0.006782,0.002802,0.0075,0.001533,-0.023756,0.014007,0.027116,0.0,0,0.0
2014-11-24,153130,0.00176,0.006781,0.002791,0.007532,0.001516,-0.037415,0.014056,0.027116,0.0,0,0.0
2014-11-25,153130,0.001662,0.006731,0.002732,0.007466,0.001443,-0.032608,0.014005,0.026915,0.0,0,0.0
2014-11-26,153130,0.001809,0.00673,0.002721,0.007514,0.001443,-0.031052,0.014003,0.026915,0.0,0,0.0
2014-11-27,153130,0.001857,0.006828,0.00276,0.007579,0.001338,-0.018106,0.014052,0.027015,0.0,0,0.0
2014-11-28,153130,0.001661,0.006779,0.002702,0.007497,0.00131,-0.018718,0.014051,0.027015,0.0,0,0.0
2014-12-01,153130,0.001759,0.006827,0.002693,0.007545,0.00129,-0.002246,0.01405,0.026964,0.0,0,0.0
2014-12-02,153130,0.001612,0.00663,0.002587,0.007431,0.001317,-0.008464,0.01405,0.026764,0.0,0,0.0
2014-12-03,153130,0.001563,0.006531,0.002482,0.007298,0.001188,-0.017511,0.013799,0.026764,0.0,0,0.0
2014-12-04,153130,0.001368,0.006481,0.00243,0.007232,0.001086,-0.031395,0.013848,0.026714,0.0,0,0.0
2014-12-05,153130,0.001221,0.006481,0.002398,0.007133,0.001086,-0.026298,0.013697,0.026663,0.0,0,0.0
2014-12-08,153130,0.00127,0.00648,0.0024,0.007099,0.001086,-0.024008,0.013546,0.026663,0.0,0,0.0
2014-12-09,153130,0.001025,0.006037,0.002164,0.006786,0.001256,-0.011192,0.013297,0.026413,-0.000146,0,0.0
2014-12-10,153130,0.001172,0.004951,0.00218,0.006506,0.001128,0.003775,0.013396,0.026413,-4.9e-05,0,0.0
2014-12-11,153130,0.001417,0.005838,0.002241,0.006899,0.001127,0.018785,0.013444,0.026613,0.0,0,0.0
2014-12-12,153130,0.001318,0.00564,0.002203,0.006767,0.001127,0.014534,0.013343,0.026563,0.0,0,0.0
2014-12-15,153130,0.001367,0.005245,0.002214,0.006618,0.001127,0.005609,0.013242,0.026563,0.0,0,0.0
2014-12-16,153130,0.001269,0.005245,0.002129,0.006535,0.001149,0.015374,0.013092,0.026312,0.0,0,0.0
2014-12-17,153130,0.001367,0.005491,0.002188,0.006683,0.001163,0.026552,0.01319,0.026413,0.0,0,0.0
2014-12-18,153130,0.001367,0.005343,0.002103,0.006583,0.001084,0.025987,0.013039,0.026312,0.0,0,0.0
2014-12-19,153130,0.00122,0.005293,0.002066,0.006501,0.001084,0.007249,0.012989,0.026262,0.0,0,0.0
2014-12-22,153130,0.001171,0.005293,0.001982,0.006418,0.001093,0.002573,0.012789,0.026312,0.0,0,0.0
2014-12-23,153130,0.00122,0.005293,0.002044,0.00645,0.001141,0.01253,0.012837,0.026262,0.0,0,0.0
