Date,069500_return,114260_return,153130_return,069500_ma_pos,114260_ma_pos,153130_ma_pos,069500_momentum,114260_momentum,153130_momentum,069500_vol,114260_vol,153130_vol,069500_rs,114260_rs,153130_rs
2019-08-21,4.993287277767896,-3.292609299136094,-7.394207917099333,2.361589277503557,-5.442696196693934,-9.250863831094634,2.68394362157352,-7.819613949064285,-9.775167189026137,-0.2384017317827678,7.853704905914915,-0.6608389142558642,,-4.626276940246703,-4.511391476433264
2019-08-22,4.814636126802575,-3.707543032979465,-5.729672977249915,3.128552110436056,-5.044455649625564,-7.731763301963607,3.680606759288864,-7.607477924600669,-9.143212388904526,-0.3757034671263216,7.638365008006172,0.2465752469030801,,-5.590967919367779,-5.529536907972784
2019-08-23,4.713446405661124,-1.493005233125916,-4.876032046863786,3.066901242496262,-3.382664688625047,-7.831389203351461,3.3011641150162,-6.692193829008922,-8.849082826571191,-0.3768250785245163,7.788447013095976,-0.1108865861744254,,-4.821408496520103,-4.782109413162936
2019-08-26,5.727271612016396,-3.373791617948401,-1.625151771821472,4.609221776657075,-5.865086850116683,-5.656178105483203,4.425239287471019,-8.244558807967985,-7.947510023314298,0.3891389885884216,8.690492809894064,1.235665411958143,,-5.880328842498189,-5.785798301090168
2019-08-27,4.311556447387153,-2.336254785666615,-2.415194375091248,4.048458056978505,-3.428494118694618,-4.291413632428866,4.199827570100432,-6.630160360072042,-7.069929130645774,0.001574332520805609,9.293244360294862,0.1817000753766606,,-5.315079722963183,-5.30150755856393
2019-08-28,3.704704524610713,0.01180844010624124,-0.7799669510965003,2.737279343087369,-1.267663983942612,-3.769533303591651,2.633370726844275,-5.133217919864322,-7.14457789995112,0.7538955189483074,9.72777839337444,-0.2386318664169577,,-3.382995504634809,-3.399169804015306
2019-08-29,3.303499443532756,-0.8669689044301268,-0.7545965146183866,3.249278967618434,-1.406298145876279,-3.252830428691217,3.453630188653985,-5.155179423834402,-5.969065968035558,0.4448277887862035,9.448342042881102,-0.2566383970934575,,-3.998033570040188,-4.043968660727184
2019-08-30,1.80178076629944,-0.5758095684784089,-0.7463671242444213,1.169375194573564,-0.6092969196232497,-3.539207737437167,1.42059123717701,-4.252742768684034,-6.377628797016614,2.382233647759652,9.372198977481808,-0.2781691956906887,,-1.82374908678105,-1.837405154607161
2019-09-02,0.6608955756762581,3.640506269167483,-1.537996207127808,0.883763416244421,3.307052729435378,-2.242733499018808,1.57334960471352,-1.989092072356425,-5.230304020179108,1.827446038170824,10.0,-1.394220154105249,,-1.43819871080862,-1.582457716939038
2019-09-03,-0.9296079435097794,6.639535447854634,2.529757248851174,1.309920392364867,3.131404784657386,-0.2488495049289069,1.344748422014965,-1.478450520321115,-4.720322451092728,-0.8858710423265775,8.164531658236164,-1.484722765681553,,-0.747243886623976,-0.9423198204873234
2019-09-04,-3.527982765447605,8.974507501074093,5.739684246008265,-0.4905174481829372,3.483028954754354,0.87772046998302,-0.4996524059047285,0.1729418199320497,-3.289725366987996,-1.038636583910283,6.565319008613542,-3.22610840943202,,2.573911278332158,2.258574027944959
