n_months,gross_cum_return_pct,gross_cagr_pct,gross_ann_vol_pct,gross_mdd_pct,gross_sharpe,gross_calmar,gross_tail_strategy_avg_pct,gross_win_rate_pct,net10_cum_return_pct,net10_cagr_pct,net10_ann_vol_pct,net10_mdd_pct,net10_sharpe,net10_calmar,net10_tail_strategy_avg_pct,net10_win_rate_pct,avg_monthly_turnover_pct,avg_annual_turnover_pct,max_monthly_turnover_pct,strategy,period,sim_id,cost_bps,block_size
66.0,124.66860390582907,15.855537805503573,17.141343362740862,-20.45669025460399,0.9442403113464791,0.7750783537398048,-5.466442183629775,59.09090909090909,123.95609201002328,15.788646756326209,17.142610422368087,-20.497316675808808,0.9407728233143469,0.7702787153091198,-5.47050034558848,59.09090909090909,4.853782308513382,58.24538770216058,18.15457331684621,shuffle_placebo,OOS,4,10.0,4
171.0,181.54109025316254,7.534245466022083,10.227791902540922,-15.395904797064986,0.7617687882767051,0.4893668521163096,-3.8104202785784254,59.64912280701754,178.87685812045385,7.462518850091637,10.228990658882468,-15.461783337779467,0.7551303289510001,0.48264282890691196,-3.816701439796623,59.64912280701754,5.5826302721893395,66.99156326627207,28.212320394387056,shuffle_placebo,FULL,5,10.0,4
105.0,47.16510365193602,4.514776475445337,7.125074496914725,-9.630845288784307,0.6560303137652491,0.46878299256899736,-2.979773063767218,60.952380952380956,46.313725754926274,4.445497338144944,7.126484075690767,-9.755068557167823,0.646577240999051,0.4557115423733731,-2.9862061095305603,60.952380952380956,5.536870510661066,66.4424461279328,28.212320394387056,shuffle_placebo,IS,5,10.0,4
66.0,91.30968094110314,12.518750181070072,13.746790681448681,-15.395904797064986,0.927488714222993,0.8131220831825744,-4.849102445320897,57.57575757575758,90.60197987683634,12.442956444295872,13.74799775310162,-15.461783337779433,0.9224709141558212,0.8047555817117591,-4.854750057145196,57.57575757575758,5.655429892802501,67.86515871363001,16.389097988274603,shuffle_placebo,OOS,5,10.0,4
171.0,226.06161046255102,8.647823182778257,12.246783289718007,-15.665592008507979,0.7380580690283608,0.5520265801689224,-4.182347557065491,60.23391812865497,223.11333443226437,8.578591142222258,12.247334479611371,-15.728045888747355,0.7327907699157205,0.5454327386188401,-4.187005929951726,60.23391812865497,5.341963657358518,64.10356388830222,31.9679153010424,shuffle_placebo,FULL,6,10.0,4
105.0,49.12412886171511,4.672849710157556,7.918686105255874,-13.937783927936199,0.6169289637287054,0.3352648982304518,-3.4490868438701923,61.904761904761905,48.21186071980246,4.599469304521309,7.9187167738631254,-14.025213605276942,0.6080380638559189,0.32794290582432006,-3.4550857902904526,61.904761904761905,5.8654664671067085,70.38559760528051,31.9679153010424,shuffle_placebo,IS,6,10.0,4
66.0,118.65114180476635,15.28506410079813,16.90913900384509,-15.665592008507979,0.9253451730335105,0.9757093183900625,-4.963567887820847,57.57575757575758,118.00774436205002,15.223310632979704,16.90962151786236,-15.728045888747344,0.9221188494107295,0.9679085844905403,-4.967613737831843,57.57575757575758,4.50911827821367,54.10941933856404,15.321932943963237,shuffle_placebo,OOS,6,10.0,4
171.0,174.1772298151409,7.334427576147751,11.135895962616445,-19.915369969946983,0.6910296661328896,0.36827975514467814,-4.010799461067385,60.23391812865497,171.62666915952238,7.264053298998996,11.135569380200746,-19.961631102912968,0.685124101128482,0.36390078854522884,-4.017944885655587,60.23391812865497,5.49895891446264,65.98750697355167,29.832123973299467,shuffle_placebo,FULL,7,10.0,4
105.0,37.199115553075956,3.6805500977727723,6.25802743416101,-8.35229171183297,0.6093293082056401,0.44066349988212383,-2.69391318629535,62.857142857142854,36.32359704684416,3.6047213662567357,6.259502169160331,-8.47240108932359,0.5974788192979162,0.4254663262813642,-2.702625415704788,62.857142857142854,6.106630147215405,73.27956176658486,29.832123973299467,shuffle_placebo,IS,7,10.0,4
66.0,99.83891930343685,13.414636212054498,16.012879368171276,-19.91536996994703,0.8662526476706789,0.6735820741616974,-5.955113191704658,56.060606060606055,99.25139524170909,13.353938132136012,16.01074582303486,-19.961631102913003,0.8629712064330713,0.6689803084371833,-5.958303885452324,56.060606060606055,4.532209225992331,54.38651071190797,16.52752863910241,shuffle_placebo,OOS,7,10.0,4
171.0,270.35095048125095,9.623256498421217,12.313936579827594,-16.30369646096883,0.8077109037192164,0.5902499792890137,-4.202758608880797,61.40350877192983,266.89136459350703,9.551080654227405,12.31598938121925,-16.37601047861159,0.8022084930917202,0.5832361103274756,-4.207845858885492,60.81871345029239,5.509130066011678,66.10956079214013,32.99529379580335,shuffle_placebo,FULL,8,10.0,4
105.0,53.13429440043984,4.9907742666688515,7.680728047843768,-11.795462145410918,0.6731183430642022,0.42310968448239533,-3.5054480574528832,63.8095238095238,52.169842335620366,4.9149923298035025,7.682229004528391,-11.805156625125646,0.6635652780685146,0.41634283100849506,-3.5101071550323724,63.8095238095238,6.031542626287586,72.37851151545102,32.99529379580335,shuffle_placebo,IS,8,10.0,4
66.0,141.84716554268277,17.418013222385163,17.15322470864313,-16.30369646096883,1.0228036679085681,1.0683474918760918,-5.619310086639372,57.57575757575758,141.10648927683363,17.352548964189275,17.15539445747272,-16.3760104786116,1.0194020872977598,1.0596322582263311,-5.623027137908131,56.060606060606055,4.678019174663644,56.13623009596373,15.545990307777322,shuffle_placebo,OOS,8,10.0,4
171.0,143.60803774071553,6.447693000988108,9.681560296214606,-22.635467105656947,0.6947027714818909,0.28484912508727206,-4.2145155077752054,60.81871345029239,141.44779686583777,6.38117656404551,9.682102217791034,-22.662298408489534,0.6881806088430538,0.2815767601778227,-4.218883146218189,60.81871345029239,5.230980910767358,62.7717709292083,19.923876035350887,shuffle_placebo,FULL,9,10.0,4
