Date,signal_date,method,strategy,069500_weight,114260_weight,153130_weight,rule_signal,rule_description,strategy_return,cumulative_return,portfolio_value
2013-07-31,2013-06-30,rank,EW_HSI_overlay,0.15,0.425,0.425,caution,위험자산 비중 축소,0.0056542469790415075,0.00466433203466865,1.0046643320346687
2013-08-31,2013-07-31,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,0.005953039605501233,0.010645138593505354,1.0106451385935054
2013-09-30,2013-08-31,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,0.015636409030746964,0.02644799936548936,1.0264479993654894
2013-10-31,2013-09-30,rank,EW_HSI_overlay,0.5,0.25,0.25,buy,위험자산 비중 확대,0.013219814148949424,0.04001745115066213,1.0400174511506621
2013-11-30,2013-10-31,rank,EW_HSI_overlay,0.5,0.25,0.25,buy,위험자산 비중 확대,0.003989181939777001,0.04416626998384521,1.0441662699838452
2013-12-31,2013-11-30,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,-0.0007731302831468331,0.04335899341988014,1.0433589934198801
2014-01-31,2013-12-31,rank,EW_HSI_overlay,0.5,0.25,0.25,buy,위험자산 비중 확대,-0.020086934909815675,0.022401109231484195,1.0224011092314842
2014-02-28,2014-01-31,rank,EW_HSI_overlay,0.15,0.425,0.425,caution,위험자산 비중 축소,0.005055367262235587,0.027569722327966284,1.0275697223279663
2014-03-31,2014-02-28,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,0.0015961368006335334,0.029209864176990896,1.029209864176991
2014-04-30,2014-03-31,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,-0.0017131378380782997,0.027446685815345928,1.027446685815346
