Date,signal_date,method,strategy,strategy_return,cumulative_return,portfolio_value
2019-11-30,2019-10-31,rank,EW_HSI_overlay,0.0018935060731308,0.1440226962329316,1.1440226962329316
2019-12-31,2019-11-30,rank,EW_HSI_overlay,0.0256674744627615,0.17338686957331,1.17338686957331
2020-01-31,2019-12-31,rank,EW_HSI_overlay,-0.0132330598757654,0.1578593708708096,1.1578593708708096
2020-02-29,2020-01-31,rank,EW_HSI_overlay,-0.0057146192044704,0.1512426454739552,1.1512426454739553
2020-03-31,2020-02-29,rank,EW_HSI_overlay,-0.0163996256523691,0.1323626970531393,1.1323626970531393
2020-04-30,2020-03-31,rank,EW_HSI_overlay,0.0154560436033605,0.1498645442736113,1.1498645442736113
2020-05-31,2020-04-30,rank,EW_HSI_overlay,0.0146041870822274,0.1666573811974032,1.1666573811974033
2020-06-30,2020-05-31,rank,EW_HSI_overlay,0.0162160219268949,0.1855759228720741,1.185575922872074
2020-07-31,2020-06-30,rank,EW_HSI_overlay,0.0239202275668524,0.2139351687449553,1.213935168744955
2020-08-31,2020-07-31,rank,EW_HSI_overlay,0.0125875020797284,0.2292155802061879,1.229215580206188
2020-09-30,2020-08-31,rank,EW_HSI_overlay,0.0051224595310537,0.2355121872707348,1.2355121872707349
2020-10-31,2020-09-30,rank,EW_HSI_overlay,-0.0100396354551167,0.2231080953101827,1.2231080953101827
2020-11-30,2020-10-31,rank,EW_HSI_overlay,0.0499165164461711,0.2841613906651785,1.2841613906651783
2020-12-31,2020-11-30,rank,EW_HSI_overlay,0.0696032990963586,0.3735432600276429,1.373543260027643
2021-01-31,2020-12-31,rank,EW_HSI_overlay,0.0216273158103619,0.4032493138914548,1.4032493138914548
2021-02-28,2021-01-31,rank,EW_HSI_overlay,0.0046913747380715,0.4098324822738612,1.4098324822738613
2021-03-31,2021-02-28,rank,EW_HSI_overlay,0.0033800253938123,0.4145977518649684,1.4145977518649684
2021-04-30,2021-03-31,rank,EW_HSI_overlay,0.0065871454993188,0.4239159130795125,1.4239159130795125
2021-05-31,2021-04-30,rank,EW_HSI_overlay,0.0032613036807721,0.4285597352879489,1.4285597352879489
