apply_date,strategy_return_gross,turnover,w_069500,lambda
2020-10-31,-0.02044831218550874,0.004600429387655418,0.6980283874052906,0.7
2020-11-30,0.08399535381729399,0.1386198711837034,0.5594085162215872,0.7
2020-12-31,0.0914571119335163,0.09841403864488896,0.6578225548664761,0.7
2021-01-31,0.029416867473904495,0.029524211593466694,0.6873467664599429,0.7
2021-02-28,0.00976375720645201,0.008857263478039994,0.6962040299379828,0.7
2021-03-31,0.005938205796541241,0.13734282095658792,0.5588612089813949,0.7
2021-04-30,0.009877088807896256,0.04120284628697643,0.5176583626944185,0.7
2021-05-31,0.0038842479753894298,0.11736085388609291,0.40029750880832554,0.7
2021-06-30,0.0054025704248663025,0.14020825616582783,0.2600892526424977,0.7
2021-07-31,-0.008011419156375361,0.06293752315025158,0.3230267757927493,0.7
2021-08-31,-0.00045449545159107255,0.3022734316099914,0.09690803273782482,0.7
2021-09-30,-0.002782300825814133,0.09068202948299747,0.029072409821347456,0.7
2021-10-31,-0.004017240986918286,0.027204608844899242,0.00872172294640424,0.7
2021-11-30,0.0034642443407348965,0.008161382653469787,0.0026165168839212723,0.7
2021-12-31,0.001717377173689947,0.0024484147960409115,0.0007849550651763818,0.7
2022-01-31,-0.03410864334836088,0.3842654755611877,0.3502354865195529,0.7
2022-02-28,0.0018390070020208589,0.2697203573316437,0.10507064595586589,0.7
2022-03-31,-0.00223485552233289,0.0809161071994931,0.03152119378675977,0.7
2022-04-30,-0.012780557067531409,0.360725167840152,0.3594563581360279,0.7
2022-05-31,-7.508280702561563e-05,0.10821755035204568,0.4578369074408084,0.7
2022-06-30,-0.08386589749504242,0.1695141647914341,0.6273510722322425,0.7
2022-07-31,0.015353282372857411,0.4391457505625697,0.1882053216696728,0.7
2022-08-31,-0.006324701945880372,0.358256274831229,0.5464615965009018,0.7
2022-09-30,-0.08224308348405593,0.1074768824493687,0.6539384789502705,0.7
2022-10-31,0.01451762060177005,0.45775693526518935,0.1961815436850812,0.7
2022-11-30,0.043528988860236005,0.35267291942044315,0.5488544631055243,0.7
2022-12-31,-0.050521630520852,0.10580187582613296,0.6546563389316573,0.7
2023-01-31,0.053753083270827284,0.10825943725216008,0.5463969016794972,0.7
2023-02-28,-0.007307065460999651,0.10752216882435195,0.6539190705038491,0.7
2023-03-31,0.02142779879938373,0.03225665064730559,0.6861757211511548,0.7
2023-04-30,0.008891008508192596,0.00967699519419167,0.6958527163453464,0.7
2023-05-31,0.028546799642540026,0.0029030985582575303,0.698755814903604,0.7
2023-06-30,-0.0008934296446199289,0.0008709295674772452,0.6996267444710812,0.7
