Date,ticker,return_from_price,return_existing_decimal,diff,abs_diff
2021-11-30,114260,0.010252365930599305,0.010252,3.65930599304648e-07,3.65930599304648e-07
2020-06-30,153130,0.00019536567008815453,0.000195,3.6567008815453403e-07,3.6567008815453403e-07
2012-12-31,069500,0.041283363570429055,0.041283,3.6357042905443837e-07,3.6357042905443837e-07
2022-06-30,069500,-0.12880936233395013,-0.128809,-3.623339501213074e-07,3.623339501213074e-07
2019-02-28,153130,0.0011976396777402254,0.001198,-3.603222597746685e-07,3.603222597746685e-07
2012-07-31,069500,0.02035463987114028,0.020355,-3.601288597228358e-07,3.601288597228358e-07
2020-07-31,069500,0.06820935977551557,0.068209,3.597755155598792e-07,3.597755155598792e-07
2016-02-29,069500,0.01721564115937957,0.017216,-3.588406204298178e-07,3.588406204298178e-07
2020-07-31,114260,0.003014642549526325,0.003015,-3.574504736747301e-07,3.574504736747301e-07
2021-02-28,069500,0.014103643351023543,0.014104,-3.566489764576103e-07,3.566489764576103e-07
2023-02-28,114260,-0.010396645116197756,-0.010397,3.548838022442158e-07,3.548838022442158e-07
2020-10-31,153130,0.000536646110056882,0.000537,-3.538899431180338e-07,3.538899431180338e-07
2025-08-31,069500,-0.01650535373212303,-0.016505,-3.537321230304147e-07,3.537321230304147e-07
2017-12-31,114260,0.0006346491503694818,0.000635,-3.508496305182655e-07,3.508496305182655e-07
2015-07-31,069500,-0.033594350721249944,-0.033594,-3.507212499448409e-07,3.507212499448409e-07
2020-08-31,153130,9.765034992548216e-05,9.8e-05,-3.496500745178363e-07,3.496500745178363e-07
2016-03-31,069500,0.04283334946208428,0.042833,3.4946208427727443e-07,3.4946208427727443e-07
2016-05-31,153130,0.0008953490783172313,0.000895,3.4907831723135496e-07,3.4907831723135496e-07
2016-06-30,069500,0.004115348939704999,0.004115,3.4893970499941945e-07,3.4893970499941945e-07
2023-03-31,069500,0.024604347513605296,0.024604,3.475136052949468e-07,3.475136052949468e-07
2019-03-31,069500,-0.021871346954382753,-0.021871,-3.469543827516741e-07,3.469543827516741e-07
2025-01-31,114260,0.005595653231692532,0.005596,-3.4676830746802056e-07,3.4676830746802056e-07
2021-05-31,114260,-0.0015506547208821164,-0.001551,3.452791178836564e-07,3.452791178836564e-07
2024-09-30,114260,0.005093657574761767,0.005094,-3.424252382321774e-07,3.424252382321774e-07
2020-03-31,069500,-0.11419634118601063,-0.114196,-3.411860106244946e-07,3.411860106244946e-07
2021-10-31,153130,-9.734086962454036e-05,-9.7e-05,-3.4086962454036077e-07,3.4086962454036077e-07
2017-05-31,153130,0.0011936593561856501,0.001194,-3.4064381434985476e-07,3.4064381434985476e-07
2013-03-31,114260,0.00607565948583888,0.006076,-3.405141611196455e-07,3.405141611196455e-07
2022-02-28,114260,0.0007853403141360182,0.000785,3.40314136018237e-07,3.40314136018237e-07
2012-11-30,114260,0.0005526600773231305,0.000553,-3.3992267686950347e-07,3.3992267686950347e-07
2022-10-31,069500,0.06656366170207462,0.066564,-3.3829792538131453e-07,3.3829792538131453e-07
2019-06-30,153130,0.001587663418846308,0.001588,-3.3658115369209624e-07,3.3658115369209624e-07
2021-05-31,153130,0.0003403352753545974,0.00034,3.3527535459737523e-07,3.3527535459737523e-07
2020-02-29,069500,-0.058028665446904215,-0.058029,3.3455309578211967e-07,3.3455309578211967e-07
2015-01-31,153130,0.00219933412537876,0.002199,3.341253787601632e-07,3.341253787601632e-07
2013-01-31,153130,0.0022986665824362706,0.002299,-3.334175637291839e-07,3.334175637291839e-07
2020-01-31,069500,-0.029095666638238926,-0.029096,3.333617610741524e-07,3.333617610741524e-07
2014-03-31,069500,0.0001926667077916111,0.000193,-3.3329220838889946e-07,3.3329220838889946e-07
2016-01-31,069500,-0.03368233231739859,-0.033682,-3.323173985922412e-07,3.323173985922412e-07
2014-11-30,069500,0.01261533140340676,0.012615,3.314034067603694e-07,3.314034067603694e-07
2024-02-29,114260,-0.0009273309728544676,-0.000927,-3.309728544676578e-07,3.309728544676578e-07
2018-01-31,153130,0.001699670249991847,0.0017,-3.2975000815289e-07,3.2975000815289e-07
2014-05-31,114260,0.004808671134405307,0.004809,-3.288655946931049e-07,3.288655946931049e-07
2012-04-30,114260,0.006983672305578725,0.006984,-3.276944212744423e-07,3.276944212744423e-07
2013-05-31,069500,0.021297326977216535,0.021297,3.26977216535268e-07,3.26977216535268e-07
2017-07-31,069500,0.007439673125569479,0.00744,-3.268744305211929e-07,3.268744305211929e-07
