Date,R_ew,R_lambda_net,exposure_effect,pure_timing_effect,lambda_effect,cost_effect,total_excess_vs_ew,residual_check
2019-08-31,-0.008116177756146932,-0.006329454881298034,0.00173513410709207,0.0025952860576163423,-0.0025105686190859617,-3.31286707735505e-05,0.0017867228748488983,-1.951563910473908e-18
2019-09-30,0.019162642343107602,0.0142871843485527,-0.0032721582418057116,-0.0048942537804786265,0.003314144097270924,-2.3190069541485363e-05,-0.004875457994554902,-8.673617379884035e-19
2019-10-31,0.0024315324043648998,0.0013968277594237659,-0.0006862473314553582,-0.0003841811983788541,3.6956933572118506e-05,-1.2330486790397277e-06,-0.001034704644941134,-4.336808689942018e-19
2019-11-30,0.0018780132754165999,0.0018942063064234114,3.825702508377895e-05,-3.825702508377895e-05,4.032989693148379e-05,-2.4136865924672208e-05,1.619303100681155e-05,-3.049318610115481e-20
2019-12-31,0.0256616851819298,0.02272271267728326,-0.003959840148971226,0.003959840148971226,-0.002922076698499272,-1.689580614727057e-05,-0.0029389725046465413,1.3010426069826053e-18
2020-01-31,-0.007930942610888466,-0.0062754961996597395,0.0016948931077928131,0.0009488504150464031,-0.0009751241759135793,-1.3172935696910665e-05,0.001655446411228727,8.673617379884035e-19
2020-02-29,-0.017026957939826164,-0.01231952575096261,0.0032907453104428232,0.004922054951517042,-0.0034811470181084735,-2.422105498783744e-05,0.004707432188863554,8.673617379884035e-19
2020-03-31,-0.03750624567333839,-0.028443122741349556,0.006148085207303368,0.003441876761353592,-0.0005248842981766344,-1.9547384914861966e-06,0.009063122931988837,-3.469446951953614e-18
2020-04-30,0.031538028854973366,0.020529238747676728,-0.004680045156605854,-0.015760152065835094,0.009477775432088352,-4.636831694404033e-05,-0.011008790107296638,-1.734723475976807e-18
2020-05-31,0.014621302582689866,0.01163606613883907,-0.0017977443482084573,0.0017977443482084573,-0.002947694265711623,-3.754217813917173e-05,-0.002985236443850797,-2.168404344971009e-18
2020-06-30,0.01622345969848522,0.013238264370424755,-0.002577983081409472,0.002577983081409472,-0.0029589158033630435,-2.627952469742023e-05,-0.0029851953280604655,-1.734723475976807e-18
2020-07-31,0.02391721855936713,0.021047512366778983,-0.003548901394274917,0.003548901394274917,-0.002851310525299954,-1.839566728819417e-05,-0.0028697061925881465,1.734723475976807e-18
2020-08-31,0.0076975588827981065,0.006074840420539128,-0.0015631491512829326,-0.0008750963197353164,0.0008276500416575345,-1.212303289826408e-05,-0.001622718462258979,-2.168404344971009e-19
2020-09-30,0.0051011543795087995,0.004743269424525894,-0.00047330668711430436,0.00047330668711430436,-0.00034137107801168943,-1.6513876971215176e-05,-0.0003578849549829054,-8.131516293641283e-19
2020-10-31,-0.010017570132755933,-0.008568162829359122,0.0015037160478992271,0.0008418239413452933,-0.0008826923997275586,-1.3440286120149442e-05,0.001449407303396811,-1.3010426069826053e-18
2020-11-30,0.04995707893553646,0.03836613618688077,-0.008090221798145062,-0.01210075909978962,0.008624446349563096,-2.4408200284104593e-05,-0.011590942748655693,-1.734723475976807e-18
2020-12-31,0.04654152291441316,0.03567604615858399,-0.007396432352024081,-0.004140737769722881,0.0006737791061166679,-2.0857401988731983e-06,-0.010865476755829169,-1.734723475976807e-18
2021-01-31,0.014709138907372866,0.011398330389492256,-0.002212039000971599,-0.001238363714219142,0.00014105421544934282,-1.460018139211261e-06,-0.00331080851788061,-8.673617379884035e-19
2021-02-28,0.00469158766166,0.00387724744713839,-0.0007547070590393715,0.0007547070590393715,-0.0007903622272190568,-2.3977987302552157e-05,-0.0008143402145216099,-9.75781955236954e-19
2021-03-31,0.003401665145973167,0.002905433683466037,-0.0006540255048617256,0.0006540255048617256,-0.000479446871395343,-1.6784591111786513e-05,-0.00049623146250713,-5.421010862427522e-19
2021-04-30,0.006584147658566999,0.006089752124929196,-0.0009405570753919527,0.0009405570753919527,-0.00048264631985955224,-1.1749213778250556e-05,-0.0004943955336378031,-3.2526065174565133e-19
2021-05-31,0.003258915263544533,0.0030280935685332243,-0.0006196948705425784,0.0006196948705425784,-0.00022259724536653376,-8.224449644775394e-06,-0.00023082169501130846,6.776263578034403e-19
2021-06-30,0.007600340347124632,0.006050155057076367,-0.0015156981263477452,-0.0022670698471013275,0.0022668255686494644,-3.4242885248657265e-05,-0.0015501852900482649,4.336808689942018e-19
2021-07-31,-0.008580849044208099,-0.007350254908522622,0.001780604622026421,-0.001780604622026421,0.001246624116011418,-1.602998032593994e-05,0.0012305941356854765,-1.5178830414797062e-18
2021-08-31,-0.0032878184884772513,-0.0026437904999112613,0.0006866262946416807,0.0003843933529831628,-0.0004132126452870117,-1.377901377184207e-05,0.0006440279885659901,4.336808689942018e-19
2021-09-30,-0.0161439005909333,-0.013740228419777362,0.0021196074965613544,0.0011866178720065697,-0.0008929078877716951,-9.645309640289424e-06,0.002403672171155939,0.0
2021-10-31,-0.014736899731466,-0.012618911782768664,0.0013843035803083655,0.002070539543196272,-0.0013151034580590976,-2.1751716748202614e-05,0.002117987948697336,-1.3010426069826053e-18
2021-11-30,-0.008352572310562766,-0.004316299552365108,0.0022130644960296525,0.0033101392034631536,-0.0014717047395714062,-1.5226201723741797e-05,0.004036272758197658,0.0
2021-12-31,0.023105299022194364,0.017196573767120138,-0.00337499046245634,-0.0018894177375289752,-0.0006399753962955302,-4.341658793380692e-06,-0.005908725255074226,8.673617379884035e-19
2022-01-31,-0.032569182087421995,-0.027030602914100466,0.004545601822935225,-0.004545601822935225,0.0055666183344769,-2.8039161155366518e-05,0.005538579173321529,-4.336808689942018e-18
2022-02-28,0.003846901622527066,0.0032113929153028634,-0.00047550977299188013,-0.0002662041891535738,0.00011157784211249468,-5.37258719124345e-06,-0.0006355087072242027,0.0
2022-03-31,0.001259465518919833,-5.998311551909814e-05,-0.0009427569135224432,-0.0005277827165446152,0.00015485180666199738,-3.7608110338704095e-06,-0.0013194486344389313,2.168404344971009e-19
2022-04-30,-0.012020424026460067,-0.010747474126217113,0.0013259434654790063,-0.0013259434654790063,0.0012953173325192433,-2.2367432276290705e-05,0.0012729499002429537,1.0842021724855044e-18
2022-05-31,0.0002514128348138001,0.00048191694694566737,0.00017789743993364886,0.0002660859144306712,-0.00018913644482585628,-2.4342797406596508e-05,0.0002305041121318673,2.710505431213761e-20
