year,strategy,annual_buy_turnover_pct,annual_sell_turnover_pct,annual_oneway_turnover_pct,annual_double_sided_turnover_pct,max_monthly_oneway_turnover_pct,annual_backtest_turnover_pct,max_abs_turnover_diff
2017,dynamic_v1,67.94165232741011,67.94165232741013,67.94165232741013,135.88330465482025,19.149368244887178,67.94165232741013,0.0
2018,dynamic_v1,71.65104507580271,71.65104507580271,71.65104507580271,143.30209015160543,16.943477567871636,71.65104507580271,0.0
2019,dynamic_v1,35.279020143264496,35.279020143264496,35.279020143264496,70.55804028652899,7.122679087791201,35.279020143264496,0.0
2020,dynamic_v1,56.37678255926792,56.3767825592679,56.37678255926792,112.75356511853585,16.238898522284078,56.37678255926792,0.0
2021,dynamic_v1,53.67738153280999,53.677381532809974,53.677381532809974,107.35476306561995,13.340453871027396,53.677381532809974,0.0
2022,dynamic_v1,51.036293373722444,51.036293373722444,51.036293373722444,102.07258674744489,12.793621701012459,51.036293373722444,0.0
2023,dynamic_v1,52.64850582035625,52.64850582035625,52.64850582035625,105.2970116407125,11.88142227176883,52.64850582035625,0.0
2024,dynamic_v1,90.3399756168253,90.3399756168253,90.33997561682528,180.67995123365057,15.214247604569717,90.33997561682528,0.0
2025,dynamic_v1,59.72479831517039,59.72479831517039,59.72479831517038,119.44959663034076,10.653930098615442,59.72479831517038,0.0
2026,dynamic_v1,11.70390040919882,11.703900409198814,11.703900409198816,23.407800818397632,6.237953581989675,11.703900409198816,0.0
2012,dynamic_v1_macro,20.322599999999998,20.32259999999999,20.32259999999999,40.64519999999998,5.999999999999996,20.32259999999999,0.0
2013,dynamic_v1_macro,58.495547507760705,58.49554750776071,58.49554750776071,116.99109501552142,18.591122655420005,58.49554750776071,0.0
2014,dynamic_v1_macro,82.56820810700272,82.56820810700272,82.56820810700272,165.13641621400544,17.61658409684419,82.56820810700272,0.0
2015,dynamic_v1_macro,76.90139308692743,76.90139308692746,76.90139308692743,153.80278617385486,14.465986518824334,76.90139308692743,0.0
2016,dynamic_v1_macro,41.32923012473147,41.329230124731474,41.32923012473147,82.65846024946293,7.731047771823027,41.32923012473147,0.0
2017,dynamic_v1_macro,48.15371396382284,48.15371396382282,48.15371396382283,96.30742792764566,18.1567426834647,48.15371396382283,0.0
2018,dynamic_v1_macro,68.79954660675209,68.79954660675212,68.79954660675212,137.59909321350423,16.707662584342415,68.79954660675212,0.0
2019,dynamic_v1_macro,36.74685151686624,36.746851516866236,36.746851516866236,73.49370303373247,7.4117523328449675,36.746851516866236,0.0
2020,dynamic_v1_macro,56.312019435314106,56.3120194353141,56.312019435314106,112.62403887062821,16.111417221215373,56.312019435314106,0.0
2021,dynamic_v1_macro,43.84347084681895,43.84347084681895,43.84347084681897,87.68694169363793,13.731162078061596,43.84347084681897,0.0
2022,dynamic_v1_macro,49.43389689170062,49.43389689170063,49.43389689170061,98.86779378340123,11.595091594095619,49.43389689170061,0.0
2023,dynamic_v1_macro,39.80942528036009,39.809425280360095,39.80942528036009,79.61885056072018,6.637042978650673,39.80942528036009,0.0
2024,dynamic_v1_macro,69.97185505793115,69.97185505793117,69.97185505793117,139.94371011586233,15.687299178202196,69.97185505793117,0.0
2025,dynamic_v1_macro,56.18904981419062,56.189049814190604,56.18904981419062,112.37809962838124,10.467102738736529,56.18904981419062,0.0
2026,dynamic_v1_macro,12.399484469440218,12.399484469440218,12.399484469440218,24.798968938880435,6.080845405326597,12.399484469440218,0.0
