file,column,min,max,max_abs,reason,n_rows,columns
data\processed\main_v3_baseline_rebalance_weights.csv,ticker,69500.0,153130.0,153130.0,abs(value) > 100,501,"strategy_name, signal_month, return_month, ticker, weight, hsi_state, hsi_direction, hsi_intensity, allocation_rule"
data\processed\main_v3_extended_signal_inputs_long.csv,ticker,69500.0,153130.0,153130.0,abs(value) > 100,516,"year_month, ticker, name, asset_class, underlying_asset, risk_group, score_method_source, benchmark_rs_note, score_return, score_ma_pos, score_momentum, score_vol, score_rs, score_ma20_gap, score_ma60_gap, score_vol20, score_drawdown_60, score_risk_vs_cash_ret20, extended_signal_source, extended_signal_note"
data\processed\main_v3_extended_signal_inputs_long.csv,score_return,-10.0,10.0,10.0,return abs > 1,516,"year_month, ticker, name, asset_class, underlying_asset, risk_group, score_method_source, benchmark_rs_note, score_return, score_ma_pos, score_momentum, score_vol, score_rs, score_ma20_gap, score_ma60_gap, score_vol20, score_drawdown_60, score_risk_vs_cash_ret20, extended_signal_source, extended_signal_note"
data\processed\main_v3_extended_signal_inputs_long.csv,score_drawdown_60,-1.844635763046525,10.0,10.0,drawdown < -1,516,"year_month, ticker, name, asset_class, underlying_asset, risk_group, score_method_source, benchmark_rs_note, score_return, score_ma_pos, score_momentum, score_vol, score_rs, score_ma20_gap, score_ma60_gap, score_vol20, score_drawdown_60, score_risk_vs_cash_ret20, extended_signal_source, extended_signal_note"
data\processed\main_v3_extended_signal_inputs_wide.csv,069500_drawdown_60,-1.844635763046525,4.495324912587766,4.495324912587766,drawdown < -1,172,"year_month, 069500_ma20_gap, 069500_ma60_gap, 069500_vol20, 069500_drawdown_60, 069500_risk_vs_cash_ret20, 114260_ma20_gap, 114260_ma60_gap, 114260_vol20, 114260_drawdown_60, 114260_risk_vs_cash_ret20, 153130_ma20_gap, 153130_ma60_gap, 153130_vol20, 153130_drawdown_60, 153130_risk_vs_cash_ret20"
data\processed\main_v3_extended_signal_inputs_wide.csv,114260_drawdown_60,-1.5407176157445217,5.101514036741331,5.101514036741331,drawdown < -1,172,"year_month, 069500_ma20_gap, 069500_ma60_gap, 069500_vol20, 069500_drawdown_60, 069500_risk_vs_cash_ret20, 114260_ma20_gap, 114260_ma60_gap, 114260_vol20, 114260_drawdown_60, 114260_risk_vs_cash_ret20, 153130_ma20_gap, 153130_ma60_gap, 153130_vol20, 153130_drawdown_60, 153130_risk_vs_cash_ret20"
data\processed\main_v3_extended_signal_scores_daily.csv,069500_drawdown_60_score,-2.154589117343285,7.104504174861018,7.104504174861018,drawdown < -1,3486,"date, 069500_ma20_gap_raw, 069500_ma60_gap_raw, 069500_vol20_raw, 069500_drawdown_60_raw, 069500_risk_vs_cash_ret20_raw, 114260_ma20_gap_raw, 114260_ma60_gap_raw, 114260_vol20_raw, 114260_drawdown_60_raw, 114260_risk_vs_cash_ret20_raw, 153130_ma20_gap_raw, 153130_ma60_gap_raw, 153130_vol20_raw, 153130_drawdown_60_raw, 153130_risk_vs_cash_ret20_raw, 069500_ma20_gap_direction, 069500_ma60_gap_direction, 069500_vol20_direction, 069500_drawdown_60_direction, 069500_risk_vs_cash_ret20_direction, 114260_ma20_gap_direction, 114260_ma60_gap_direction, 114260_vol20_direction, 114260_drawdown_60_direction, 114260_risk_vs_cash_ret20_direction, 153130_ma20_gap_direction, 153130_ma60_gap_direction, 153130_vol20_direction, 153130_drawdown_60_direction, 153130_risk_vs_cash_ret20_direction, 069500_ma20_gap_score, 069500_ma60_gap_score, 069500_vol20_score, 069500_drawdown_60_score, 069500_risk_vs_cash_ret20_score, 114260_ma20_gap_score, 114260_ma60_gap_score, 114260_vol20_score, 114260_drawdown_60_score, 114260_risk_vs_cash_ret20_score, 153130_ma20_gap_score, 153130_ma60_gap_score, 153130_vol20_score, 153130_drawdown_60_score, 153130_risk_vs_cash_ret20_score"
data\processed\main_v3_extended_signal_scores_daily.csv,114260_drawdown_60_score,-1.7192460358734338,7.250927619096169,7.250927619096169,drawdown < -1,3486,"date, 069500_ma20_gap_raw, 069500_ma60_gap_raw, 069500_vol20_raw, 069500_drawdown_60_raw, 069500_risk_vs_cash_ret20_raw, 114260_ma20_gap_raw, 114260_ma60_gap_raw, 114260_vol20_raw, 114260_drawdown_60_raw, 114260_risk_vs_cash_ret20_raw, 153130_ma20_gap_raw, 153130_ma60_gap_raw, 153130_vol20_raw, 153130_drawdown_60_raw, 153130_risk_vs_cash_ret20_raw, 069500_ma20_gap_direction, 069500_ma60_gap_direction, 069500_vol20_direction, 069500_drawdown_60_direction, 069500_risk_vs_cash_ret20_direction, 114260_ma20_gap_direction, 114260_ma60_gap_direction, 114260_vol20_direction, 114260_drawdown_60_direction, 114260_risk_vs_cash_ret20_direction, 153130_ma20_gap_direction, 153130_ma60_gap_direction, 153130_vol20_direction, 153130_drawdown_60_direction, 153130_risk_vs_cash_ret20_direction, 069500_ma20_gap_score, 069500_ma60_gap_score, 069500_vol20_score, 069500_drawdown_60_score, 069500_risk_vs_cash_ret20_score, 114260_ma20_gap_score, 114260_ma60_gap_score, 114260_vol20_score, 114260_drawdown_60_score, 114260_risk_vs_cash_ret20_score, 153130_ma20_gap_score, 153130_ma60_gap_score, 153130_vol20_score, 153130_drawdown_60_score, 153130_risk_vs_cash_ret20_score"
data\processed\main_v3_hsi_state5_table.csv,risk_ticker,69500.0,69500.0,69500.0,abs(value) > 100,172,"year_month, score_method_source, risk_ticker, risk_asset_name, hsi_direction, hsi_intensity, positive_count, negative_count, neutral_count, valid_signal_count, state_valid, hsi_state, state_reason, active_signals, score_return, score_ma_pos, score_momentum, score_vol, score_rs_excluded_reason"
data\processed\main_v3_hsi_state5_table.csv,score_return,-10.0,10.0,10.0,return abs > 1,172,"year_month, score_method_source, risk_ticker, risk_asset_name, hsi_direction, hsi_intensity, positive_count, negative_count, neutral_count, valid_signal_count, state_valid, hsi_state, state_reason, active_signals, score_return, score_ma_pos, score_momentum, score_vol, score_rs_excluded_reason"
data\processed\main_v3_hsi_state_return_alignment_preview.csv,next_return_069500,-19.8576,34.9432,34.9432,return abs > 1,171,"signal_month, hsi_state, state_valid, hsi_direction, hsi_intensity, positive_count, negative_count, valid_signal_count, return_month, next_return_069500, next_return_114260, next_return_153130, alignment_rule"
data\processed\main_v3_hsi_state_return_alignment_preview.csv,next_return_114260,-1.7325,1.9912,1.9912,return abs > 1,171,"signal_month, hsi_state, state_valid, hsi_direction, hsi_intensity, positive_count, negative_count, valid_signal_count, return_month, next_return_069500, next_return_114260, next_return_153130, alignment_rule"
data\processed\main_v3_monthly_signal_inputs_long.csv,ticker,69500.0,153130.0,153130.0,abs(value) > 100,516,"year_month, ticker, name, asset_class, underlying_asset, risk_group, score_method_source, benchmark_rs_note, score_return, score_ma_pos, score_momentum, score_vol, score_rs, score_ma20_gap, score_ma60_gap, score_vol20, score_drawdown_60, score_risk_vs_cash_ret20"
data\processed\main_v3_monthly_signal_inputs_long.csv,score_return,-10.0,10.0,10.0,return abs > 1,516,"year_month, ticker, name, asset_class, underlying_asset, risk_group, score_method_source, benchmark_rs_note, score_return, score_ma_pos, score_momentum, score_vol, score_rs, score_ma20_gap, score_ma60_gap, score_vol20, score_drawdown_60, score_risk_vs_cash_ret20"
data\processed\main_v3_monthly_signal_inputs_wide.csv,069500_return,-10.0,10.0,10.0,return abs > 1,172,"year_month, 069500_return, 114260_return, 153130_return, 069500_ma_pos, 114260_ma_pos, 153130_ma_pos, 069500_momentum, 114260_momentum, 153130_momentum, 069500_vol, 114260_vol, 153130_vol, 069500_rs, 114260_rs, 153130_rs"
data\processed\main_v3_monthly_signal_inputs_wide.csv,114260_return,-10.0,10.0,10.0,return abs > 1,172,"year_month, 069500_return, 114260_return, 153130_return, 069500_ma_pos, 114260_ma_pos, 153130_ma_pos, 069500_momentum, 114260_momentum, 153130_momentum, 069500_vol, 114260_vol, 153130_vol, 069500_rs, 114260_rs, 153130_rs"
data\processed\main_v3_monthly_signal_inputs_wide.csv,153130_return,-10.0,10.0,10.0,return abs > 1,172,"year_month, 069500_return, 114260_return, 153130_return, 069500_ma_pos, 114260_ma_pos, 153130_ma_pos, 069500_momentum, 114260_momentum, 153130_momentum, 069500_vol, 114260_vol, 153130_vol, 069500_rs, 114260_rs, 153130_rs"
data\processed\main_v3_monthly_signal_return_alignment_preview.csv,ticker,69500.0,153130.0,153130.0,abs(value) > 100,513,"signal_month, return_month, ticker, score_method_source, score_return, score_ma_pos, score_momentum, score_vol, score_rs, benchmark_rs_note, next_month_return, alignment_rule"
data\processed\main_v3_monthly_signal_return_alignment_preview.csv,score_return,-10.0,10.0,10.0,return abs > 1,513,"signal_month, return_month, ticker, score_method_source, score_return, score_ma_pos, score_momentum, score_vol, score_rs, benchmark_rs_note, next_month_return, alignment_rule"
data\processed\main_v3_monthly_signal_return_alignment_preview.csv,next_month_return,-19.8576,34.9432,34.9432,return abs > 1,513,"signal_month, return_month, ticker, score_method_source, score_return, score_ma_pos, score_momentum, score_vol, score_rs, benchmark_rs_note, next_month_return, alignment_rule"
data\processed\main_v3_signal_combo_backtest_timeseries.csv,monthly_return_pct,-6.985000000000001,11.706299999999992,11.706299999999992,return abs > 1,1670,"experiment_id, strategy_name, signal_month, return_month, hsi_state, monthly_return, strategy_type, growth_index, cumulative_return, drawdown, monthly_return_pct, cumulative_return_pct, drawdown_pct"
data\processed\main_v3_signal_combo_backtest_timeseries.csv,cumulative_return_pct,0.243766666666656,146.90574890127968,146.90574890127968,abs(value) > 100,1670,"experiment_id, strategy_name, signal_month, return_month, hsi_state, monthly_return, strategy_type, growth_index, cumulative_return, drawdown, monthly_return_pct, cumulative_return_pct, drawdown_pct"
data\processed\main_v3_signal_combo_backtest_timeseries.csv,drawdown_pct,-14.569094475230472,0.0,14.569094475230472,drawdown < -1,1670,"experiment_id, strategy_name, signal_month, return_month, hsi_state, monthly_return, strategy_type, growth_index, cumulative_return, drawdown, monthly_return_pct, cumulative_return_pct, drawdown_pct"
data\processed\main_v3_signal_combo_hsi_state_table.csv,risk_ticker,69500.0,69500.0,69500.0,abs(value) > 100,860,"experiment_id, experiment_name, signal_set_type, year_month, risk_ticker, hsi_direction, hsi_intensity, positive_count, negative_count, neutral_count, valid_signal_count, min_valid_signals, state_valid, hsi_state, state_reason, active_signals, score_return, score_ma_pos, score_momentum, score_vol, score_ma20_gap, score_ma60_gap, score_vol20, score_drawdown_60, score_risk_vs_cash_ret20"
