strategy,window_start,window_end,months,cumulative_return_pct,cagr_pct,vol_pct,mdd_pct,sharpe,negative_cum_return
FixedBM_70_20_10,2012-05-31,2015-04-30,36,6.247940474623381,2.0407182282021985,7.682577679759698,-6.956242432522641,0.30087340859866624,False
FixedBM_70_20_10,2012-06-30,2015-05-31,36,10.495035355451886,3.382632905409566,7.0444068381748615,-6.956242432522631,0.5073164306704431,False
FixedBM_70_20_10,2012-07-31,2015-06-30,36,7.486523956084978,2.435699971283345,7.213615607274303,-6.956242432522619,0.3691754793968373,False
FixedBM_70_20_10,2012-08-31,2015-07-31,36,3.212761535197317,1.0596522219478377,7.296073448884418,-6.956242432522631,0.18015626385097755,False
FixedBM_70_20_10,2012-09-30,2015-08-31,36,-0.2406789079030469,-0.0802907514285689,7.546166901979852,-9.072874760062488,0.026206240762416903,True
FixedBM_70_20_10,2012-10-31,2015-09-30,36,-2.0777643456603156,-0.6974410469574588,7.321590355700182,-9.072874760062478,-0.05976206152979857,True
FixedBM_70_20_10,2012-11-30,2015-10-31,36,5.385301438778045,1.7638074061314457,7.4880704103283025,-9.072874760062478,0.27018976707395775,False
FixedBM_70_20_10,2012-12-31,2015-11-30,36,2.272304597062891,0.7517691351137668,7.531951490092627,-9.072874760062488,0.13618515750522783,False
FixedBM_70_20_10,2013-01-31,2015-12-31,36,-0.9452830660562683,-0.3160924469624127,7.339424144470088,-9.072874760062478,-0.007342083739262918,True
FixedBM_70_20_10,2013-02-28,2016-01-31,36,-1.8254067055945788,-0.6122092550467029,7.413605932140611,-9.072874760062488,-0.04665925549585484,True
FixedBM_70_20_10,2013-03-31,2016-02-29,36,-3.320953822575612,-1.1194699732572144,7.255375119130577,-9.072874760062499,-0.11968873454619211,True
FixedBM_70_20_10,2013-04-30,2016-03-31,36,0.7682251093267256,0.25542207660844696,7.441617382779095,-9.072874760062488,0.07058680566076508,False
FixedBM_70_20_10,2013-05-31,2016-04-30,36,2.662313436185726,0.8796768084736728,7.345953159295972,-9.072874760062454,0.15511624454407394,False
FixedBM_70_20_10,2013-06-30,2016-05-31,36,0.8309407515979306,0.2762165920052517,7.310464135255447,-9.072874760062478,0.07339661660409517,False
FixedBM_70_20_10,2013-07-31,2016-06-30,36,6.965169918880987,2.2698129897970265,6.587165287710205,-9.072874760062478,0.3729935249361381,False
FixedBM_70_20_10,2013-08-31,2016-07-31,36,7.209028992196509,2.347472205165557,6.608984908431996,-9.072874760062488,0.38347896110841057,False
